用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈,
外国語書面出願,がいこくごしょめんしゅつがん,,(written) application in foreign language,,,,,,
外国語特許出願,がいこくごとっきょしゅつがん,,patent application in foreign language,,,,,,
外国語要約書面,がいこくごようやくしょめん,,abstract in foreign language,,,,,,
外国裁判所,がいこくさいばんしょ,,foreign court,,,,,,
外国人,がいこくじん,,foreign national,,,,,,
外国人登録,がいこくじんとうろく,,alien registration,,,,,,
外国政府,がいこくせいふ,,foreign government,,,,,,
外国船舶,がいこくせんぱく,,foreign vessel,,,,,,
外国中央銀行,がいこくちゅうおうぎんこう,,foreign central bank,,,,,,
外国倒産処理手続,がいこくとうさんしょりてつづき,,foreign insolvency proceeding(s),,,,,,
外国判決,がいこくはんけつ,,foreign judgment,,,,,,
外国弁護士,がいこくべんごし,,foreign lawyer,,,,,,
外国法共同事業,がいこくほうきょうどうじぎょう,,foreign law joint enterprise,,,,,,
外国法事務弁護士,がいこくほうじむべんごし,,registered foreign lawyer,,,,,,
外国法事務弁護士事務所,がいこくほうじむべんごしじむしょ,,office of registered foreign lawyer,,,,,,
外国法人,がいこくほうじん,,foreign corporation,,,,,,
介護福祉士,かいごふくしし,,certified care worker,,,,,,
介護保険,かいごほけん,,nursing care insurance,,,,,,
介護保険施設,かいごほけんしせつ,,nursing care insurance facilities,,,,,,
解散,かいさん,1,dispersion,一般的な解散,解散しなかった,fails to disperse,刑法107条,,
解散,かいさん,2,dissolution,会社・法人・議会等の場合,法人の解散事由,Causes of Dissolution of Juridical Person,民法68条,,
解散の登記,かいさんのとうき,,registration of dissolution,,,,,,
開示,かいじ,1,disclosure,,取締役は、次に掲げる場合には、株主総会において、当該取引につき重要な事実を開示し、その承認を受けなければならない,"In the following cases, a director must disclose the material facts on the relevant transactions at a shareholders meeting and obtain approval of the shareholders meeting",会社法356条,,
開示,かいじ,2,discovery,,,,,【注】刑事事件で公判前整理手続における証拠開示の場合は、discoveryも使用可。,
外資,がいし,,foreign capital,,,,,,
開始後債権,かいしごさいけん,,post commencement claim,,,,,,
開示請求,かいじせいきゅう,,request for disclosure,,,,,,
開始の申立て,かいしのもうしたて,,petition for commencement,,,,,,
会社,かいしゃ,,company,,,,,【注】「会社」を総称する場合。なお、「株式会社」など特定の会社の種類を意味する場合は、それぞれの用語の欄参照。,
解釈,かいしゃく,1,construction,法・クレームの解釈,この法律は、個人の尊厳と両性の本質的平等を旨として、解釈しなければならない,This Code must be construed in accordance with honoring the dignity of individuals and the essential equality of both sexes.,民法2条,,
解釈,かいしゃく,2,interpretation,言葉の解釈,当事者は、仲裁廷に対し、仲裁判断の特定の部分の解釈を求める申立てをすることができる,A party may request the arbitral tribunal to give an interpretation of a specific part of the arbitral award,仲裁法42条1項,,
解釈の誤り,かいしゃくのあやまり,1,misconstruction,,,,,,
解釈の誤り,かいしゃくのあやまり,2,misinterpretation,,,,,,
会社分割,かいしゃぶんかつ,,company split,,,,,,
回収,かいしゅう,1,collection,原則,類似の物品と分別して回収する,collecting products by sorting them by type,資源の有効な利用の促進に関する法律2条11項,,
回収,かいしゅう,2,recall,欠陥製品等の回収,当該化学物質又は当該製品の回収を図ること,to make efforts to recall said chemical substance or said product,化学物質の審査及び製造等の規制に関する法律22条1項,,
回収,かいしゅう,3,recovery,非有体物の回収,占有回収の訴え,actions for recovery of possession,民法200条,,
回収,かいしゅう,4,calling,債権の回収,貸付債権の回収,calling of loan claims,保険業法270条の7・2項,,
解除,かいじょ,,cancellation,,,,,,
海上災害,かいじょうさいがい,,maritime disaster,,,,,,
海上保安官,かいじょうほあんかん,,coast guard officer,,,,,,
海上保安庁,かいじょうほあんちょう,,Japan Coast Guard,,,,,,
解職,かいしょく,,removal (from position/duty),会社法上の「解任」と「解職」の用語の使い分けに対応,設立時取締役は、…設立時委員…を解職し、又は設立時執行役を解任することができる,"…the Directors at Incorporation may remove the Committee Members at Incorporation,… or dismiss the Executive Officers at Incorporation",会社法48条2項,,
解除条件,かいじょじょうけん,,condition subsequent,,,,,,
害する,がいする,1,harm,,個人の権利利益を害する,harm the rights and interests of individuals,個人情報保護法2条3項5号,,
害する,がいする,2,prejudice,,第三者の権利を害することはできない,no right of a third party may be prejudiced,民法116条但書,【注】「Aを害するB」「Aを害しないB」の場合は、B with/without prejudice to A,
害する,がいする,3,damage,秩序・信用を害する場合,秩序若しくは信用を害する,damage the order or the reputation,外国弁護士による法律事務の取扱いに関する特別措置法26条,,
改善措置,かいぜんそち,,improvement measure,,,,,,
改善命令,かいぜんめいれい,,order for improvement,,,,,,
買付け,かいつけ,,purchase,,,,,,
改定,かいてい,,revision,,,,,,
海難,かいなん,1,marine accident,,,,,,
海難,かいなん,2,marine casualty,,,,,,
海難,かいなん,3,disaster at sea,,,,,,
解任,かいにん,,dismissal,,,,,,
改任,かいにん,,replace,,,,,,
改廃,かいはい,,revision or abolition,,,,,,
開発途上地域,かいはつとじょうちいき,,developing area,,,,,,
開発費,かいはつひ,,development expenses,会計勘定科目,,,,,
回避する,かいひする,1,avoid,,,,,,
回避する,かいひする,2,withdrawal,,,,,,
回避する,かいひする,3,recuse oneself,裁判官等の回避の場合,,,,【注】訴訟手続等において、裁判官が利害関係の存在等の理由で自ら職務を回避する場合。,
改変,かいへん,,alteration,,,,,,
外務員,がいむいん,,sales representative,,,,,,
買戻し,かいもどし,,redemption,,,,,,
解約,かいやく,1,termination,将来に向かって契約を失効させる意味,期間の定めのない賃貸借の解約の申入れ,Offers to Terminate Leases with Indefinite Terms,民法617条,,
解約,かいやく,2,cancellation,契約解除の意味,,,,,
解約の申入れ,かいやくのもうしいれ,,notice of termination,,,,,,
海洋,かいよう,1,marine,,,,,,
海洋,かいよう,2,ocean,海水、水産動植物、海底地形等を含んだ実存する海そのもの,海洋海嶺,oceanic ridges,海洋法に関する国際連合条約第76条,,
海洋,かいよう,3,sea,,,,,,
海洋施設,かいようしせつ,,off-shore facility,,,,,,
外来生物,がいらいせいぶつ,,alien species,,,,,,
害を加える目的,がいをくわえるもくてき,,intent to do harm,,,,,,
加害者,かがいしゃ,1,perpetrator,,,,,,
加害者,かがいしゃ,2,offender,,,,,,
加害者,かがいしゃ,3,injuring party,,,,,,
価格,かかく,1,price,品物の価格・値段,市場価格ある株式,shares with a market price,,,
価格,かかく,2,value,金銭的価値,,,,,
価額,かがく,1,market value,,,,,,
価額,かがく,2,value,,,,,,
寡額,かがく,,minimum amount,,,,,,
価額決定の請求,かがくけっていのせいきゅう,,request for valuation,,,,,,
科学的知見,かがくてきちけん,1,scientific knowledge,,,,,,
科学的知見,かがくてきちけん,2,scientific findings,,,,,,
価額の償還,かがくのしょうかん,,reimbursement of value,,,,,,
化学物質,かがくぶっしつ,,chemical substance,,,,,,
書留郵便,かきとめゆうびん,,registered mail,,,,,,
下級審,かきゅうしん,,lower instance court,,,,,,
下級の裁判所,かきゅうのさいばんしょ,,lower instance court,,,,,,
閣議,かくぎ,,cabinet meeting,,,,,,
閣議決定,かくぎけってい,,cabinet decision,,,,,,
学識経験者,がくしきけいけんしゃ,,person with relevant knowledge and experience,,,,,,
各種学校,かくしゅがっこう,,schools for specialized education,,,,,,
確知,かくち,,ascertainment,,,,,,
隔地者,かくちしゃ,,party at a distance,,隔地者に対する意思表示,manifestation of intention to a party at a distance,民法97条1項,,
格付,かくづけ,1,rating,一般的,,,,,
格付,かくづけ,2,grading,一般的,,,,,
格付,かくづけ,3,inspection,国が定めた一定基準をクリアしたものという意味で使う場合,,,,,
確定期限,かくていきげん,,fixed due date,,,,,,
確定裁判,かくていさいばん,,final and binding decision,,,,,,
確定審決,かくていしんけつ,,final and binding decision,,,,,,
確定申告,かくていしんこく,,tax return,,,,,,
確定する,かくていする,,become final and binding,,,,,【注】裁判・判決等の場合,
確定手続,かくていてつづき,,procedures to fix,,訴訟費用額の確定手続,procedures to fix amount of court costs,,,
確定判決,かくていはんけつ,,final and binding judgment,,,,,,
確定日付,かくていひづけ,,certified date,,確定日付のある証書,an instrument bearing a certified date,民法467条2項,,
確認,かくにん,1,confirmation,,,,,,
確認,かくにん,2,check,,,,,,
確認の訴え,かくにんのうったえ,,action for declaratory judgment,,,,,,
